"Track URI","Track Name","Artist URI","Artist Name","Album URI","Album Name","Disc Number","Track Number","Track Duration (ms)","Added By","Added At"
"spotify:track:7ytR5pFWmSjzHJIeQkgog4","ROCKSTAR (feat. Roddy Ricch)","spotify:artist:4r63FhuTkUYltbVAg5TQnk, spotify:artist:757aE44tKEUQEqRuT6GnEB","DaBaby, Roddy Ricch","spotify:album:623PL2MBg50Br5dLXC9E9e","BLAME IT ON BABY","1","7","181733","spotify:user:1245722571","2020-08-07T15:48:28Z"
"spotify:track:5RqR4ZCCKJDcBLIn4sih9l","Party Girl","spotify:artist:1XLWox9w1Yvbodui0SRhUQ","StaySolidRocky","spotify:album:4NPX54YtocHqTOq6yXDEFM","Party Girl","1","1","147800","spotify:user:1245722571","2020-08-07T15:48:28Z"
"spotify:track:4Oun2ylbjFKMPTiaSbbCih","WAP (feat. Megan Thee Stallion)","spotify:artist:4kYSro6naA4h99UJvo89HB, spotify:artist:181bsRPaVXVlUKXrxwZfHK","Cardi B, Megan Thee Stallion","spotify:album:2ogiazbrNEx0kQHGl5ZBTQ","WAP (feat. Megan Thee Stallion)","1","1","187541","spotify:user:1245722571","2020-08-07T15:48:28Z"
"spotify:track:0nbXyq5TXYPCO7pr3N8S4I","The Box","spotify:artist:757aE44tKEUQEqRuT6GnEB","Roddy Ricch","spotify:album:52u4anZbHd6UInnmHRFzba","Please Excuse Me For Being Antisocial","1","2","196652","spotify:user:1245722571","2020-08-07T15:48:28Z"
"spotify:track:127QTOFJsJQp5LbJbu3A1y","Toosie Slide","spotify:artist:3TVXtAsR1Inumwj472S9r4","Drake","spotify:album:3xIwVbGJuAcovYIhzbLO3J","Toosie Slide","1","1","247058","spotify:user:1245722571","2020-08-07T15:48:28Z"
"spotify:track:2MbdDtCv5LUVjYy9RuGTgC","WHATS POPPIN (feat. DaBaby, Tory Lanez & Lil Wayne) - Remix","spotify:artist:2LIk90788K0zvyj2JJVwkJ, spotify:artist:2jku7tDXc6XoB6MO2hFuqg, spotify:artist:4r63FhuTkUYltbVAg5TQnk, spotify:artist:55Aa2cqylxrFIXC767Z865","Jack Harlow, Tory Lanez, DaBaby, Lil Wayne","spotify:album:36jrqYRpGVpJqztuqCii22","WHATS POPPIN (feat. DaBaby, Tory Lanez & Lil Wayne) [Remix]","1","1","227478","spotify:user:1245722571","2020-08-07T15:48:28Z"
"spotify:track:6EDO9iiTtwNv6waLwa1UUq","POPSTAR (feat. Drake)","spotify:artist:0QHgL1lAIqAw0HtD7YldmP, spotify:artist:3TVXtAsR1Inumwj472S9r4","DJ Khaled, Drake","spotify:album:5nNtpPsSUgb9Hlb3dF1gXa","POPSTAR (feat. Drake)","1","1","200221","spotify:user:1245722571","2020-08-07T15:48:28Z"
"spotify:track:4OENnoidV0h8gJV6bhrw7r","Only You Freestyle","spotify:artist:6UCQYrcJ6wab6gnQ89OJFh, spotify:artist:3TVXtAsR1Inumwj472S9r4","Headie One, Drake","spotify:album:5L6DR2YmRLRZ4CmR91l3Z4","Only You Freestyle","1","1","248936","spotify:user:1245722571","2020-08-07T15:48:28Z"
"spotify:track:39Yp9wwQiSRIDOvrVg7mbk","THE SCOTTS","spotify:artist:2PaZWGu5T5nHjY2xxAkFsT, spotify:artist:0Y5tJX1MQlPlqiwlOH1tJY, spotify:artist:0fA0VVWsXO9YnASrzqfmYu","THE SCOTTS, Travis Scott, Kid Cudi","spotify:album:7q6zjWaLw8bN5nYiBWjrus","THE SCOTTS","1","1","165977","spotify:user:1245722571","2020-08-07T15:48:28Z"
"spotify:track:1H7KnK26kc1YyellpbINEn","The Woo (feat. 50 Cent & Roddy Ricch)","spotify:artist:0eDvMgVFoNV3TpwtrVCoTj, spotify:artist:3q7HBObVc0L8jNeTe5Gofh, spotify:artist:757aE44tKEUQEqRuT6GnEB","Pop Smoke, 50 Cent, Roddy Ricch","spotify:album:7e7t0MCrNDcJZsPwUKjmOc","Shoot For The Stars Aim For The Moon","1","10","201600","spotify:user:1245722571","2020-08-07T15:48:28Z"
"spotify:track:4NhDYoQTYCdWHTvlbGVgwo","GOOBA","spotify:artist:7gZfnEnfiaHzxARJ2LeXrf","6ix9ine","spotify:album:4kIWi5LcrqAWQD09CE05Ps","GOOBA","1","1","132303","spotify:user:1245722571","2020-08-07T15:48:28Z"
"spotify:track:6gBFPUFcJLzWGx4lenP6h2","goosebumps","spotify:artist:0Y5tJX1MQlPlqiwlOH1tJY","Travis Scott","spotify:album:42WVQWuf1teDysXiOupIZt","Birds In The Trap Sing McKnight","1","9","243836","spotify:user:1245722571","2020-08-07T15:48:28Z"
"spotify:track:2T5NBwKRySiCR78vVk08vr","BLIND (feat. Young Thug)","spotify:artist:4r63FhuTkUYltbVAg5TQnk, spotify:artist:50co4Is1HCEo8bhOyUWKpn","DaBaby, Young Thug","spotify:album:6SL49HqoUwu2hhfukBAK3Q","BLAME IT ON BABY (DELUXE)","1","4","153466","spotify:user:1245722571","2020-08-07T15:48:28Z"
"spotify:track:5v4GgrXPMghOnBBLmveLac","Savage Remix (feat. Beyoncé)","spotify:artist:181bsRPaVXVlUKXrxwZfHK, spotify:artist:6vWDO969PvNqNYHIOW5v0m","Megan Thee Stallion, Beyoncé","spotify:album:6M4VOF1ExBRii1x20Pk0GR","Savage Remix (feat. Beyoncé)","1","1","242000","spotify:user:1245722571","2020-08-07T15:48:28Z"
"spotify:track:6wJYhPfqk3KGhHRG76WzOh","Blueberry Faygo","spotify:artist:5zctI4wO9XSKS8XwcnqEHk","Lil Mosey","spotify:album:6rBennOYWR1OZQnsU39PKL","Blueberry Faygo","1","1","162546","spotify:user:1245722571","2020-08-07T15:48:28Z"
"spotify:track:3eekarcy7kvN4yt5ZFzltW","HIGHEST IN THE ROOM","spotify:artist:0Y5tJX1MQlPlqiwlOH1tJY","Travis Scott","spotify:album:2uDTi1PlpSpvAv7IRAoAEU","HIGHEST IN THE ROOM","1","1","175720","spotify:user:1245722571","2020-08-07T15:48:28Z"
"spotify:track:2fZTS0VboxRpF0FdfY7E5P","Conversations","spotify:artist:4MCBfE4596Uoi2O4DtmEMz","Juice WRLD","spotify:album:1R6vbGGXSEZZmTGn7ewwRL","Legends Never Die","1","2","181661","spotify:user:1245722571","2020-08-07T15:48:28Z"
"spotify:track:0Tcw8w9pvPrZoORgxsNASW","Over Your Head","spotify:artist:1RyvyyTE3xzB2ZywiAwp0i, spotify:artist:4O15NlyKLIASxsJ0PrXPfz","Future, Lil Uzi Vert","spotify:album:2LLu6xqRlPgR80v0lg5WR1","Over Your Head","1","1","186842","spotify:user:1245722571","2020-08-07T15:48:28Z"
"spotify:track:0PvFJmanyNQMseIFrU708S","For The Night (feat. Lil Baby & DaBaby)","spotify:artist:0eDvMgVFoNV3TpwtrVCoTj, spotify:artist:5f7VJjfbwm532GiveGC0ZK, spotify:artist:4r63FhuTkUYltbVAg5TQnk","Pop Smoke, Lil Baby, DaBaby","spotify:album:7e7t0MCrNDcJZsPwUKjmOc","Shoot For The Stars Aim For The Moon","1","3","190476","spotify:user:1245722571","2020-08-07T15:48:28Z"
"spotify:track:1IIKrJVP1C9N7iPtG6eOsK","Go Crazy","spotify:artist:7bXgB6jMjp9ATFy66eO08Z, spotify:artist:50co4Is1HCEo8bhOyUWKpn","Chris Brown, Young Thug","spotify:album:7fZKtzZAsfH0kzeTivu5TG","Slime & B","1","2","176960","spotify:user:1245722571","2020-08-07T15:48:28Z"
"spotify:track:696DnlkuDOXcMAnKlTgXXK","ROXANNE","spotify:artist:0vRvGUQVUjytro0xpb26bs","Arizona Zervas","spotify:album:6HJDrXs0hpebaRFKA1sF90","ROXANNE","1","1","163636","spotify:user:1245722571","2020-08-07T15:48:28Z"
"spotify:track:2xLMifQCjDGFmkHkpNLD9h","SICKO MODE","spotify:artist:0Y5tJX1MQlPlqiwlOH1tJY","Travis Scott","spotify:album:41GuZcammIkupMPKH2OJ6I","ASTROWORLD","1","3","312820","spotify:user:1245722571","2020-08-07T15:48:28Z"
"spotify:track:5jbDih9bLGmI8ycUKkN5XA","Perfect","spotify:artist:4xRYI6VqpkE3UwrDrAZL8L","Logic","spotify:album:5pF05wJrbrIvqunE41vWP8","No Pressure","1","7","100291","spotify:user:1245722571","2020-08-07T15:48:28Z"
"spotify:track:285pBltuF7vW8TeWk8hdRR","Lucid Dreams","spotify:artist:4MCBfE4596Uoi2O4DtmEMz","Juice WRLD","spotify:album:6tkjU4Umpo79wwkgPMV3nZ","Goodbye & Good Riddance","1","3","239835","spotify:user:1245722571","2020-08-07T15:48:28Z"
"spotify:track:66FgjA5ZQJJuypFG1bc8se","Hate The Other Side (with Marshmello & The Kid Laroi)","spotify:artist:4MCBfE4596Uoi2O4DtmEMz, spotify:artist:64KEffDW9EtZ1y2vBYgq8T, spotify:artist:2tIP7SsRs7vjIcLrU85W8J, spotify:artist:6AgTAQt8XS6jRWi4sX7w49","Juice WRLD, Marshmello, The Kid LAROI, Polo G","spotify:album:1R6vbGGXSEZZmTGn7ewwRL","Legends Never Die","1","8","160212","spotify:user:1245722571","2020-08-07T15:48:28Z"
"spotify:track:35RJhm1pEovTBwnNR0zWad","GREECE (feat. Drake)","spotify:artist:0QHgL1lAIqAw0HtD7YldmP, spotify:artist:3TVXtAsR1Inumwj472S9r4","DJ Khaled, Drake","spotify:album:3O6ywzP5LE5msmuBBTpaIN","GREECE (feat. Drake)","1","1","218901","spotify:user:1245722571","2020-08-07T15:48:28Z"
"spotify:track:527k23H0A4Q0UJN3vGs0Da","After Party","spotify:artist:4Gso3d4CscCijv0lmajZWs","Don Toliver","spotify:album:7z4GhRfLqfSkqrj5F3Yt2B","Heaven Or Hell","1","4","167915","spotify:user:1245722571","2020-08-07T15:48:28Z"
"spotify:track:5esKpsrB3TbGHwFaAjIGMx","Move Ya Hips (feat. Nicki Minaj & MadeinTYO)","spotify:artist:5dHt1vcEm9qb8fCyLcB3HL, spotify:artist:0hCNtLu0JehylgoiP8L4Gh, spotify:artist:5SyGEPymt1G2uto47tVWvZ","A$AP Ferg, Nicki Minaj, MadeinTYO","spotify:album:18EUFrMlX8WDlq7jKCAQ0S","Move Ya Hips (feat. Nicki Minaj & MadeinTYO)","1","1","146009","spotify:user:1245722571","2020-08-07T15:48:28Z"
"spotify:track:5yY9lUy8nbvjM1Uyo1Uqoc","Life Is Good (feat. Drake)","spotify:artist:1RyvyyTE3xzB2ZywiAwp0i, spotify:artist:3TVXtAsR1Inumwj472S9r4","Future, Drake","spotify:album:5uCEoLCj3ZZZ1EtzQdQWVl","Life Is Good (feat. Drake)","1","1","237735","spotify:user:1245722571","2020-08-07T15:48:28Z"
"spotify:track:7FIWs0pqAYbP91WWM0vlTQ","Godzilla (feat. Juice WRLD)","spotify:artist:7dGJo4pcD2V6oG8kP0tJRR, spotify:artist:4MCBfE4596Uoi2O4DtmEMz","Eminem, Juice WRLD","spotify:album:4otkd9As6YaxxEkIjXPiZ6","Music To Be Murdered By","1","7","210800","spotify:user:1245722571","2020-08-07T15:48:28Z"
"spotify:track:4cSSL3YafYjM3yjgFO1vJg","Walk Em Down (feat. Roddy Ricch)","spotify:artist:0ErzCpIMyLcjPiwT4elrtZ, spotify:artist:757aE44tKEUQEqRuT6GnEB","NLE Choppa, Roddy Ricch","spotify:album:3EYg0XBIcyz3OvhIy7gsZQ","Walk Em Down (feat. Roddy Ricch)","1","1","173288","spotify:user:1245722571","2020-08-07T15:48:28Z"
"spotify:track:6gxKUmycQX7uyMwJcweFjp","We Paid (feat. 42 Dugg)","spotify:artist:5f7VJjfbwm532GiveGC0ZK, spotify:artist:45gHcnDnMC15sgx3VL7ROG","Lil Baby, 42 Dugg","spotify:album:6uhEg4ASZYLIilZFCBFy1r","My Turn (Deluxe)","1","26","181929","spotify:user:1245722571","2020-08-07T15:48:28Z"
"spotify:track:0e7ipj03S05BNilyu5bRzt","rockstar (feat. 21 Savage)","spotify:artist:246dkjvS1zLTtiykXe5h60, spotify:artist:1URnnhqYAYcrqrcwql10ft","Post Malone, 21 Savage","spotify:album:6trNtQUgC8cgbWcqoMYkOR","beerbongs & bentleys","1","6","218146","spotify:user:1245722571","2020-08-07T15:48:28Z"
"spotify:track:79s5XnCN4TJKTVMSmOx8Ep","Dior","spotify:artist:0eDvMgVFoNV3TpwtrVCoTj","Pop Smoke","spotify:album:6d1vGZsr6Uy3h9IigBpPAf","Meet The Woo","1","6","216386","spotify:user:1245722571","2020-08-07T15:48:28Z"
"spotify:track:3MmCFghNjzZMn3HKqbVizn","Blood On My Jeans","spotify:artist:4MCBfE4596Uoi2O4DtmEMz","Juice WRLD","spotify:album:1R6vbGGXSEZZmTGn7ewwRL","Legends Never Die","1","6","154767","spotify:user:1245722571","2020-08-07T15:48:28Z"
"spotify:track:3QzAOrNlsabgbMwlZt7TAY","Ballin' (with Roddy Ricch)","spotify:artist:0YinUQ50QDB7ZxSCLyQ40k, spotify:artist:757aE44tKEUQEqRuT6GnEB","Mustard, Roddy Ricch","spotify:album:2WrNHOba5u6P9S9xEboaUy","Perfect Ten","1","9","180434","spotify:user:1245722571","2020-08-07T15:48:28Z"
"spotify:track:2QqJTIlGKRLJC3onkavYEz","Flex (feat. Juice WRLD)","spotify:artist:6AgTAQt8XS6jRWi4sX7w49, spotify:artist:4MCBfE4596Uoi2O4DtmEMz","Polo G, Juice WRLD","spotify:album:39xhYyNNDatQtgKw2KdXMz","THE GOAT","1","4","163902","spotify:user:1245722571","2020-08-07T15:48:28Z"
"spotify:track:3nS9a01VvXHQriLqJYwRqG","DOLLAZ ON MY HEAD (feat. Young Thug)","spotify:artist:2hlmm7s2ICUX0LVIhVFlZQ, spotify:artist:50co4Is1HCEo8bhOyUWKpn","Gunna, Young Thug","spotify:album:0gA0nZrZ55PLUp7ARfrICu","WUNNA","1","5","197760","spotify:user:1245722571","2020-08-07T15:48:28Z"
"spotify:track:4VXIryQMWpIdGgYR4TrjT1","All Girls Are The Same","spotify:artist:4MCBfE4596Uoi2O4DtmEMz","Juice WRLD","spotify:album:6tkjU4Umpo79wwkgPMV3nZ","Goodbye & Good Riddance","1","2","165819","spotify:user:1245722571","2020-08-07T15:48:28Z"
"spotify:track:3dVvWnj4D8JGkKvo6Hucso","TROLLZ (with Nicki Minaj)","spotify:artist:7gZfnEnfiaHzxARJ2LeXrf, spotify:artist:0hCNtLu0JehylgoiP8L4Gh","6ix9ine, Nicki Minaj","spotify:album:7k3BOYZVMerwnrGSTBPJwD","TROLLZ (with Nicki Minaj)","1","1","202666","spotify:user:1245722571","2020-08-07T15:48:28Z"
"spotify:track:1lOe9qE0vR9zwWQAOk6CoO","Ransom","spotify:artist:4Ga1P7PMIsmqEZqhYZQgDo","Lil Tecca","spotify:album:1I6FpscJIfwf4T56VxGVsB","We Love You Tecca","1","1","131240","spotify:user:1245722571","2020-08-07T15:48:28Z"
